Model,MAE,RMSE,R2
Extra Trees,32492.4635251938,50132.81688320885,0.8082049672752383
Random Forest,32581.54137015504,50266.23810894462,0.8071827394668064
Gradient Boosting,37165.044848436766,54221.67577867201,0.7756433164710085
Linear Regression,53320.013049565656,74558.13830127764,0.5757877060324509
